Company,City,State,Specialty,Email,Website
AG Autosports,Fort Lauderdale,FL,Professional dyno tuning and ECU flashing for imports/domestics,info@agautosports.com,https://www.agautosports.com/
Combat Tuning,Liberty Hill,TX,Performance ECU tuning for power and throttle response,combat.tuning@gmail.com,https://combattuning.com/
Eurocode Tuning,Torrance,CA,Audi VW Porsche BMW ECU remapping and performance,info@ecodetuning.com,https://www.ecodetuning.com/
ECU Tuning Group,Los Angeles,CA,ECU tuning and remapping services,info@ecutuninggroup.com,https://www.ecutuninggroup.com/
Island Sport Works,Point Pleasant,NJ,European vehicle ECU tuning - APR Unitronic dealer,info@islandsportworks.com,https://www.islandsportworks.com/
Tune Time Performance,Lakewood,NJ,Ford GM Mopar custom dyno and street tuning,sales@tunetimeperformance.com,https://www.tunetimeperformance.com/
OffCamber Autosport,Rockaway,NJ,Custom ECU tuning and performance services,mo@offcamberautosport.com,https://www.offcamberautosport.com/
Speed Perf6rmanc3,Linden,NJ,Tuning services for various platforms including EcoBoost,Sales@speedperf6rmanc3.com,https://www.speedperf6rmanc3.com/
Elite Motorsports,Amityville,NY,European auto performance - Audi VW Porsche BMW,sales@elitemotorsports.net,https://www.elitemotorsports.net/
ATL Powerhouse Performance,Atlanta,GA,In-house dyno tuning and performance upgrades,office@atlpp.com,https://www.atlpp.com/
AMS Performance,West Chicago,IL,High-performance ECU calibration and AWD dyno tuning,sales@amsperformance.com,https://www.amsperformance.com/
Speed Inc,Schaumburg,IL,Dynojet chassis dynamometer tuning - GM Ford Dodge,service@speedinc.com,https://www.speedinc.com/
Dynosource Performance,Antioch,IL,Full-service performance shop with dyno tuning,info@dynosourceperformance.com,https://www.dynosourceperformance.com/
Chicago Performance and Tuning,Lombard,IL,Performance tuning and race car prep,hello@gocpt.com,https://www.gocpt.com/
PFI Speed,Fort Lupton,CO,Dyno tuning and performance parts,sales@pfispeed.com,https://www.pfispeed.com/
Cryotune Performance,Longmont,CO,Dyno tuning e-tuning and general performance,sales@cryotuneperformance.com,https://www.cryotuneperformance.com/
Elite Performance and Tuning,Littleton,CO,Performance parts and ECU tuning,ElitePerformanceandtuning@gmail.com,https://www.eliteperformanceandtuning.com/
Modern Performance and Tuning,Glendale,AZ,Dyno tuning engine builds and custom fabrication,info@modernperformanceandtuning.com,https://www.modernperformanceandtuning.com/
Pitstop Performance,Phoenix,AZ,Performance tuning and automotive repair,info@pitstopaz.com,https://www.pitstopaz.com/
Executive Auto Service,Las Vegas,NV,Supercar tuning and performance upgrades,myeaslv@gmail.com,https://www.executiveautoservice.com/
ISP Racing,Beltsville,MD,Custom ECU tuning for GTRs and exotic cars,Peter@ispracing.com,https://www.ispracing.com/
Dirty Dirty Racing,Bedford,VA,Remote and in-house dyno tuning for domestics,dirtydirtyracing@yahoo.com,https://www.dirtydirtyracing.com/
425 European,Kirkland,WA,German vehicle ECU tuning and performance,service@425european.com,https://www.425european.com/
Apex Performance and Fabrication,Marysville,WA,Dyno tuning and custom fabrication,Sales@apexperformanceandfab.com,https://www.apexperformanceandfab.com/
R.Spec Tuning,Portland,OR,Subaru Nissan BMW Ford VW ECU tuning specialist,Riley@Rspectune.com,https://www.rspectune.com/
Double J Motorwerks,Portland,OR,VW and Audi performance tuning - Unitronic APR,carrie@doublejmotorwerks.com,https://www.doublejmotorwerks.com/
Matrix Integrated,Portland,OR,BMW performance tuning - Dinan dealer,contact@matrixintegrated.cc,https://www.matrixintegrated.cc/
