Company,Industry / Type,Product Description,Contact Name,Job Title,Email,Email Type,Source,Website
Evolve Organic Beauty,Skincare,Handmade small-batch organic skincare products - serums oils moisturisers,Laura Rudoe,Founder,hello@evolvebeauty.co.uk,Generic,Shopify Store (UK),https://www.evolvebeauty.co.uk/
UpCircle Beauty,Skincare,Upcycled ingredient skincare - coffee grounds and fruit stones turned into premium products,Anna Brightman,Co-Founder,hello@upcirclebeauty.com,Generic,Shopify Store (UK),https://upcirclebeauty.com/
Pai Skincare,Skincare,Certified organic sensitive-skin skincare - direct from London lab,Sarah Brown,Founder,support@paiskincare.com,Generic,Shopify Store (UK),https://www.paiskincare.com/
Votary,Skincare,Plant-based oil skincare formulations - high-end results-driven natural beauty,Arabella Preston,Co-Founder,sales@votary.co.uk,Generic,Shopify Store (UK),https://www.votary.co.uk/
Boheme Fragrances,Candles / Fragrance,Luxury clean non-toxic small-batch travel-inspired candles,Sadaf Kherani,Founder,hello@bohemefragrances.com,Generic,Shopify Store (US),https://www.bohemefragrances.com/
Antique Candle Co,Candles,Hand-poured soy candles with rustic design-led aesthetic,,, contact@antiquecandleco.com,Generic,Shopify Store (US),https://www.antiquecandleco.com/
Isle of Skye Candle Company,Candles,Small-batch handmade candles inspired by Scottish landscape,,,info@skyecandles.co.uk,Generic,Shopify Store (UK),https://www.skyecandles.co.uk/
Devon Wick,Candles,Eco-friendly soy candles with strong brand personality and design focus,,,help@devonwick.com,Generic,Shopify Store (UK),https://www.devonwick.com/
Origin Coffee Roasters,Coffee,Specialty coffee roasters based in Cornwall - direct trade single origin,,,info@origincoffee.co.uk,Generic,Shopify Store (UK),https://origincoffee.co.uk/
Square Mile Coffee Roasters,Coffee,Award-winning London specialty coffee roasters,James Hoffmann,Co-Founder,info@squaremilecoffee.com,Generic,Shopify Store (UK),https://shop.squaremilecoffee.com/
Pact Coffee,Coffee,Subscription-first fresh specialty coffee brand - DTC focus,,,ahoy@pactcoffee.com,Generic,Shopify Store (UK),https://www.pactcoffee.com/
Grüns,Supplements,Premium gummy supplement brand - design-led visual packaging,,,care@gruns.co,Generic,Shopify Store (US),https://gruns.co/
NEOM Wellbeing,Candles / Wellness,Natural essential oil candles and wellness products focused on wellbeing outcomes,Nicola Elliott,Founder,,Form only,Shopify Store (UK),https://neomwellbeing.com/
Floral Street,Fragrance,Luxury sustainability-focused fragrance brand with distinct floral aesthetic,Michelle Feeney,Founder,,Form only,Shopify Store (UK),https://www.floralstreet.com/
A.S. Apothecary,Skincare,Scottish botanical apothecary - small-batch organic skincare from wild-harvested plants,,,info@asapothecary.co.uk,Generic,Shopify Store (UK),https://www.asapothecary.co.uk/
Freya + Bailey Skincare,Skincare,Pure essential oil skincare - clean formulations avoiding harsh chemicals,,,info@freyaandbailey.com,Generic,Shopify Store (UK),https://freyaandbailey.com/
